id;customer_id;date;product_id;product_quantity;product_unit_value
0;5080;2023-12-31T05:43:03Z;43;2;14.34
0;5080;2023-12-31T05:43:03Z;43;2;14.34
0;5080;2023-12-31T05:43:03Z;15;2;69.34
1;4086;2024-02-15T18:23:19Z;34;2;44.56
2;3089;2022-09-30T02:15:49Z;24;2;249.34
3;3905;2023-06-22T20:13:06Z;29;2;9.78
4;1135;2024-12-11T08:46:18Z;13;2;199.56
5;1348;2023-06-27T02:35:27Z;42;2;24.12
6;1729;2024-02-06T08:22:59Z;30;1;19.23
6;1729;2024-02-06T08:22:59Z;45;1;29.12
7;1872;2023-05-07T09:35:49Z;4;2;299.34
7;1872;2023-05-07T09:35:49Z;28;2;119.56
7;1872;2023-05-07T09:35:49Z;13;2;199.56
8;1944;2023-04-21T19:00:30Z;2;1;150.67
8;1944;2023-04-21T19:00:30Z;21;2;59.34
8;1944;2023-04-21T19:00:30Z;19;2;14.45
9;2207;2023-01-05T04:52:11Z;19;2;14.45
9;2207;2023-01-05T04:52:11Z;34;1;44.56
9;2207;2023-01-05T04:52:11Z;27;2;19.34
10;2809;2022-07-30T19:18:22Z;35;1;99.12
11;3482;2023-07-09T12:05:25Z;50;1;69.56
11;3482;2023-07-09T12:05:25Z;43;1;14.34
12;1831;2024-10-15T18:33:17Z;30;2;19.23
12;1831;2024-10-15T18:33:17Z;32;1;29.78
13;3028;2023-08-20T07:58:23Z;23;2;69.12
13;3028;2023-08-20T07:58:23Z;33;2;24.34
13;3028;2023-08-20T07:58:23Z;46;2;599.34
14;3660;2024-09-09T05:36:09Z;34;1;44.56
14;3660;2024-09-09T05:36:09Z;39;2;299.12
14;3660;2024-09-09T05:36:09Z;34;1;44.56
15;5604;2023-03-22T04:25:03Z;30;1;19.23
16;3705;2022-08-16T23:08:29Z;12;2;149.34
16;3705;2022-08-16T23:08:29Z;14;2;29.12
16;3705;2022-08-16T23:08:29Z;15;2;69.34
17;2131;2023-03-11T19:43:41Z;27;2;19.34
18;3966;2022-04-13T22:04:06Z;48;2;79.12
18;3966;2022-04-13T22:04:06Z;39;2;299.12
19;2327;2022-11-04T06:50:44Z;46;2;599.34
19;2327;2022-11-04T06:50:44Z;10;1;59.45
20;5750;2022-04-16T21:17:00Z;15;1;69.34
21;1433;2022-04-27T18:10:47Z;41;2;19.56
22;5821;2024-02-23T22:57:23Z;41;2;19.56
23;5395;2022-06-27T12:00:06Z;22;1;49.56
23;5395;2022-06-27T12:00:06Z;18;2;89.23
23;5395;2022-06-27T12:00:06Z;43;1;14.34
24;4402;2023-01-11T19:48:46Z;40;2;399.34
25;4282;2022-11-05T05:21:31Z;11;1;99.78
25;4282;2022-11-05T05:21:31Z;45;1;29.12
25;4282;2022-11-05T05:21:31Z;44;2;9.56
26;1436;2023-08-12T06:37:04Z;49;1;99.34
26;1436;2023-08-12T06:37:04Z;39;1;299.12
27;5972;2023-10-21T13:27:05Z;50;1;69.56
27;5972;2023-10-21T13:27:05Z;21;2;59.34
27;5972;2023-10-21T13:27:05Z;10;2;59.45
28;2554;2024-09-27T03:29:40Z;39;1;299.12
29;5852;2024-09-05T17:59:39Z;11;2;99.78
30;1566;2024-03-14T10:28:06Z;46;2;599.34
30;1566;2024-03-14T10:28:06Z;16;1;24.56
30;1566;2024-03-14T10:28:06Z;38;2;499.56
31;3562;2024-07-24T07:24:24Z;21;2;59.34
31;3562;2024-07-24T07:24:24Z;44;1;9.56
31;3562;2024-07-24T07:24:24Z;12;2;149.34
32;4163;2023-09-06T22:10:24Z;1;2;1799.99
33;4526;2023-06-27T22:12:34Z;8;2;14.67
33;4526;2023-06-27T22:12:34Z;23;2;69.12
33;4526;2023-06-27T22:12:34Z;34;2;44.56
34;5190;2022-09-18T04:33:45Z;44;2;9.56
35;4509;2022-02-05T13:04:15Z;36;2;149.78
35;4509;2022-02-05T13:04:15Z;15;1;69.34
35;4509;2022-02-05T13:04:15Z;12;1;149.34
36;2215;2024-03-12T02:33:07Z;50;1;69.56
